"","exp.box","exp.num","exp.id","start.date","colony.id","box.id","treat1","treat2","extract.id","treat.mgmL","FG.g","trash.g","trash2.g","sum.trash.trash2","marcynorm","marcynorm.sumtrash","PCA.dmso","PCA.na","PCA.dmso.sumtrash","PCA.na.sumtrash","trashing.success","n.ants","exp.hours","treat.application","acclimation","humidity.perc","date.box.poured","pour.controlled","fg.manip","location","dig.site","date.collected","soil.temps","chamber.depths","collected.by","recording","notes","ipad.pics","gopro.data","sample.sheet"
"11","e02.b03",2,"1081crudeR1","2020-07-22",410,3,"na","","","",0.3737,0.00221,NA,0.00221,NA,NA,1741.666667,0,1741.666667,0,"y","7",9,"","y","unknown","2020-07-17","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 24.8C; Bottom soil temp: 24.2C","Top chamber: 10-19cm x 13cm; Bottom chamber: 19-26cm x 10cm","Jonathan Klassen","","","","",""
"12","e02.b04",2,"1081crudeR1","2020-07-22",411,4,"crude","","MB1081","10",0.3682,0.07933,NA,0.07933,NA,NA,83.46438483,381.0794421,83.46438483,381.0794421,"kind of","7",9,"atomizer","n","unknown","2020-07-17","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 29C; Bottom soil temp: 25.5C","Top chamber: 1.5-3cm x 2cm; Bottom chamber: 4-10cm x 5.5cm","Katie Kyle","","","","",""
"13","e02.b05",2,"1081crudeR1","2020-07-22",411,5,"dmso","","","0.50%",0.3761,0.04324,NA,0.04324,NA,NA,0,162.219527,0,162.219527,"kind of","7",9,"atomizer","n","unknown","2020-07-17","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 29C; Bottom soil temp: 25.5C","Top chamber: 1.5-3cm x 2cm; Bottom chamber: 4-10cm x 5.5cm","Katie Kyle","","","","",""
"14","e02.b06",2,"1081crudeR1","2020-07-22",411,6,"na","","","",0.3687,0.01649,NA,0.01649,NA,NA,-61.8640148,0,-61.8640148,0,"kind of","7",9,"","n","unknown","2020-07-17","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 29C; Bottom soil temp: 25.5C","Top chamber: 1.5-3cm x 2cm; Bottom chamber: 4-10cm x 5.5cm","Katie Kyle","","","","",""
"15","e03.b07",3,"1081crudeR2","2020-07-23",422,7,"crude","","MB1081","10",0.4036,0.02113,NA,0.02113,NA,NA,8.414571575,92.26569609,8.414571575,92.26569609,"n","7",9,"atomizer","y","unknown","2020-07-17","n","weigh","main lab bench","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","hero5 black, video, 720p,60fps? linear frame","boxes watered just prior to exp. start; fresh crude from SPP","https://drive.google.com/drive/folders/12S6uR60K3hnSC3E6_jP6q47amYRhIgRS?usp=sharing","kekws:/sda/GoPro/2020-07-23_3.MB1081crudeR2_hero5video/","same as R1 ( https://docs.google.com/spreadsheets/d/1eVAlBw_iuj5RBABQrOlMz8ZRmdyng4M6rNQLCjlO_tU/edit?usp=sharing )"
"16","e03.b08",3,"1081crudeR2","2020-07-23",422,8,"dmso","","","0.50%",0.4004,0.01949,NA,0.01949,NA,NA,0,77.34303913,0,77.34303913,"n","7",9,"atomizer","y","unknown","2020-07-17","n","weigh","main lab bench","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
"17","e03.b09",3,"1081crudeR2","2020-07-23",422,9,"na","","","",0.3879,0.01099,NA,0.01099,NA,NA,-43.61210877,0,-43.61210877,0,"n","7",9,"atomizer","y","unknown","2020-07-17","n","weigh","main lab bench","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
"18","e03.b10",3,"1081crudeR2","2020-07-23",409,10,"crude","","MB1081","10",0.2089,0.00513,NA,0.00513,NA,NA,266.4285714,407.9207921,266.4285714,407.9207921,"n","7",9,"atomizer","n","unknown","2020-07-17","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 24.4C; Bottom soil temp: 24.4C","Top chamber: 10-20cm x 12cm; Bottom chamber: 19-29cm x 7cm","Jonathan Klassen","","","","",""
"19","e03.b11",3,"1081crudeR2","2020-07-23",409,11,"dmso","","","0.50%",0.1983,0.0014,NA,0.0014,NA,NA,0,38.61386139,0,38.61386139,"n","7",9,"atomizer","n","unknown","2020-07-17","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 24.4C; Bottom soil temp: 24.4C","Top chamber: 10-20cm x 12cm; Bottom chamber: 19-29cm x 7cm","Jonathan Klassen","","","","",""
"20","e03.b12",3,"1081crudeR2","2020-07-23",409,12,"na","","","",0.2325,0.00101,NA,0.00101,NA,NA,-27.85714286,0,-27.85714286,0,"n","7",9,"","n","unknown","2020-07-17","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 24.4C; Bottom soil temp: 24.4C","Top chamber: 10-20cm x 12cm; Bottom chamber: 19-29cm x 7cm","Jonathan Klassen","","","","",""
"21","e04.b01",4,"1081fracsR1","2020-07-27",422,1,"MB1081-B","B","MB1081-B","1",0.3991,0.07744,NA,0.07744,146.4924347,NA,471.9350074,1455.02008,471.9350074,1455.02008,"y","7",9,"atomizer","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","hero5 black, video, 720p,60fps? linear frame","GoPro failure (~half amount data)?","https://drive.google.com/drive/folders/12Z388UD3LKipX8FI83W-kGHfkmNW5mbE?usp=sharing","kekws:/sda/GoPro/2020-07-27_4.MB1081fracsR1_hero5video/","https://docs.google.com/spreadsheets/d/1rvNlj07ot9F8Aotmlbl3elFS56XSN06QM8VVCH6dZUY/edit?usp=sharing"
"22","e04.b02",4,"1081fracsR1","2020-07-27",422,2,"MB1081-C","C","MB1081-C","1",0.3963,0.0064,NA,0.0064,-16.36863824,NA,-52.73264402,28.51405622,-52.73264402,28.51405622,"y","7",9,"atomizer","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
"23","e04.b03",4,"1081fracsR1","2020-07-27",422,3,"MB1081-D","D","MB1081-D","1",0.3833,0.02344,NA,0.02344,22.696011,NA,73.11669129,370.6827309,73.11669129,370.6827309,"y","7",9,"atomizer","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
"24","e04.b04",4,"1081fracsR1","2020-07-27",422,4,"MB1081-E","E","MB1081-E","1",0.3963,0.04426,NA,0.04426,70.4264099,NA,226.8833087,788.7550201,226.8833087,788.7550201,"y","7",9,"atomizer","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
"25","e04.b05",4,"1081fracsR1","2020-07-27",422,5,"MB1081-F","F","MB1081-F","1",0.3931,0.0272,NA,0.0272,31.31591013,NA,100.8862629,446.184739,100.8862629,446.184739,"y","7",9,"atomizer","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
"26","e04.b06",4,"1081fracsR1","2020-07-27",422,6,"dmso","dmso","","0.50%",0.3923,0.01354,NA,0.01354,0,NA,0,171.8875502,0,171.8875502,"y","7",9,"atomizer","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
"27","e04.b07",4,"1081fracsR1","2020-07-27",422,7,"na","na","","",0.4062,0.00498,NA,0.00498,-19.62402568,NA,-63.22008863,0,-63.22008863,0,"y","7",9,"","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
"28","e04.b08",4,"1081fracsR1","2020-07-27",422,8,"crude","crude","MB1081","10",0.3965,0.05716,NA,0.05716,100,NA,322.1565731,1047.791165,322.1565731,1047.791165,"y","7",9,"atomizer","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","fresh MB1081 from SPP","","",""
"29","e05.b01",5,"1081fracsR2","2020-07-29",397,1,"crude","crude","MB1081","10",0.4163,0.03799,NA,0.03799,100,NA,37.59507425,-58.05454345,37.59507425,-58.05454345,"n","7",9,"atomizer","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BatonaF","2020-06-24","Top soil temp: 25.7C; Bottom soil temp: 25.0C","Top chamber: 2cm x 7cm x 4cm; Bottom chamber: 9cm x 10cm x 4cm; Trash chamber: 33cm x 5cm x 4cm","Emily Green","hero5 black, video, 720p,60fps? linear frame","same MB1081 prep as 7/27; boxes watered just before exp start; reuse atomizers from 7/27 except +1 for dmso (bc used atomizer for dmso first then for a treatment last time)","https://drive.google.com/drive/folders/12dW-yXF5FFpfh5Zqp4NvvaqjtjjCjbPh?usp=sharing","kekws:/sda/GoPro/2020-07-29--2020-07-30_5.MB1081fracsR2_hero5video/","same as R1 ( https://docs.google.com/spreadsheets/d/1rvNlj07ot9F8Aotmlbl3elFS56XSN06QM8VVCH6dZUY/edit?usp=sharing )"
"30","e05.b02",5,"1081fracsR2","2020-07-29",397,2,"MB1081-B","B","MB1081-B","1",0.4123,0,NA,0,-265.9922929,NA,-100,-100,-100,-100,"n","7",9,"atomizer","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BatonaF","2020-06-24","Top soil temp: 25.7C; Bottom soil temp: 25.0C","Top chamber: 2cm x 7cm x 4cm; Bottom chamber: 9cm x 10cm x 4cm; Trash chamber: 33cm x 5cm x 4cm","Emily Green","","","","",""
"31","e05.b03",5,"1081fracsR2","2020-07-29",397,3,"MB1081-C","C","MB1081-C","1",0.3979,0.01025,NA,0.01025,-167.2447013,NA,-62.87576965,-88.68278679,-62.87576965,-88.68278679,"n","7",9,"atomizer","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BatonaF","2020-06-24","Top soil temp: 25.7C; Bottom soil temp: 25.0C","Top chamber: 2cm x 7cm x 4cm; Bottom chamber: 9cm x 10cm x 4cm; Trash chamber: 33cm x 5cm x 4cm","Emily Green","","","","",""
"32","e05.b04",5,"1081fracsR2","2020-07-29",397,4,"MB1081-D","D","MB1081-D","1",0.3881,0,NA,0,-265.9922929,NA,-100,-100,-100,-100,"n","7",9,"atomizer","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BatonaF","2020-06-24","Top soil temp: 25.7C; Bottom soil temp: 25.0C","Top chamber: 2cm x 7cm x 4cm; Bottom chamber: 9cm x 10cm x 4cm; Trash chamber: 33cm x 5cm x 4cm","Emily Green","","","","",""
"33","e05.b05",5,"1081fracsR2","2020-07-29",397,5,"MB1081-E","E","MB1081-E","1",0.3921,0,NA,0,-265.9922929,NA,-100,-100,-100,-100,"n","7",9,"atomizer","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BatonaF","2020-06-24","Top soil temp: 25.7C; Bottom soil temp: 25.0C","Top chamber: 2cm x 7cm x 4cm; Bottom chamber: 9cm x 10cm x 4cm; Trash chamber: 33cm x 5cm x 4cm","Emily Green","","","","",""
"34","e05.b06",5,"1081fracsR2","2020-07-29",397,6,"MB1081-F","F","MB1081-F","1",0.41,0,NA,0,-265.9922929,NA,-100,-100,-100,-100,"n","7",9,"atomizer","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BatonaF","2020-06-24","Top soil temp: 25.7C; Bottom soil temp: 25.0C","Top chamber: 2cm x 7cm x 4cm; Bottom chamber: 9cm x 10cm x 4cm; Trash chamber: 33cm x 5cm x 4cm","Emily Green","","","","",""
"35","e05.b07",5,"1081fracsR2","2020-07-29",397,7,"dmso","dmso","","0.50%",0.3949,0.02761,NA,0.02761,0,NA,0,-69.51529204,0,-69.51529204,"n","7",9,"atomizer","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BatonaF","2020-06-24","Top soil temp: 25.7C; Bottom soil temp: 25.0C","Top chamber: 2cm x 7cm x 4cm; Bottom chamber: 9cm x 10cm x 4cm; Trash chamber: 33cm x 5cm x 4cm","Emily Green","","","","",""
"36","e05.b08",5,"1081fracsR2","2020-07-29",397,8,"na","na","","",0.4041,0.09057,NA,0.09057,606.5510597,NA,228.0333213,0,228.0333213,0,"n","7",9,"","y","unknown","2020-07-25","n","weigh","main lab bench","NJ.BatonaF","2020-06-24","Top soil temp: 25.7C; Bottom soil temp: 25.0C","Top chamber: 2cm x 7cm x 4cm; Bottom chamber: 9cm x 10cm x 4cm; Trash chamber: 33cm x 5cm x 4cm","Emily Green","","","","",""
"37","e06.b01",6,"895v1081vDose","2020-07-31",410,1,"crude","","MB1081","10",0.38,0.03664,NA,0.03664,NA,NA,NA,NA,NA,NA,"n","10",72,"pipette?","y","unknown","2020-07-30","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 24.8C; Bottom soil temp: 24.2C","Top chamber: 10-19cm x 13cm; Bottom chamber: 19-26cm x 10cm","Jonathan Klassen","timelapse 12MP, 10s","side boxes","https://drive.google.com/drive/folders/12i72Zk4DwNht-dW9pijStTHD1Ys_ptdQ?usp=sharing","kekws:/sda/GoPro/2020-07-31--2020-08-02_6.MB0895.MB1081.Dose_hero5timelapsephoto10s/","https://docs.google.com/spreadsheets/d/121_2uHrLOw-ilzMP-NjvrV-8KqBgazGLUT4DCZMCFME/edit?usp=sharing"
"38","e06.b02",6,"895v1081vDose","2020-07-31",410,2,"crude","2xVol","MB1081","10",0.39,0.16158,NA,0.16158,NA,NA,NA,NA,NA,NA,"n","10",72,"pipette?","y","unknown","2020-07-30","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 24.8C; Bottom soil temp: 24.2C","Top chamber: 10-19cm x 13cm; Bottom chamber: 19-26cm x 10cm","Jonathan Klassen","","side boxes","","",""
"39","e06.b03",6,"895v1081vDose","2020-07-31",410,3,"crude","","MB0895","10",0.39,0.11053,NA,0.11053,NA,NA,NA,NA,NA,NA,"n","10",72,"pipette?","y","unknown","2020-07-30","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 24.8C; Bottom soil temp: 24.2C","Top chamber: 10-19cm x 13cm; Bottom chamber: 19-26cm x 10cm","Jonathan Klassen","","side boxes","","",""
"40","e06.b04",6,"895v1081vDose","2020-07-31",410,4,"crude","2xVol","""MB0835""","10",0.4,0.17244,NA,0.17244,NA,NA,NA,NA,NA,NA,"n","10",72,"pipette?","y","unknown","2020-07-30","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 24.8C; Bottom soil temp: 24.2C","Top chamber: 10-19cm x 13cm; Bottom chamber: 19-26cm x 10cm","Jonathan Klassen","","side boxes","","",""
"41","e06.b05",6,"895v1081vDose","2020-07-31",410,5,"dmso","","","0.50%",0.38,0.16779,NA,0.16779,NA,NA,NA,NA,NA,NA,"n","10",72,"pipette?","y","unknown","2020-07-30","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 24.8C; Bottom soil temp: 24.2C","Top chamber: 10-19cm x 13cm; Bottom chamber: 19-26cm x 10cm","Jonathan Klassen","","side boxes","","",""
"42","e06.b06",6,"895v1081vDose","2020-07-31",410,6,"dmso","2xVol","","0.50%",0.38,0.35877,NA,0.35877,NA,NA,NA,NA,NA,NA,"n","10",72,"pipette?","y","unknown","2020-07-30","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 24.8C; Bottom soil temp: 24.2C","Top chamber: 10-19cm x 13cm; Bottom chamber: 19-26cm x 10cm","Jonathan Klassen","","side boxes","","",""
"43","e06.b07",6,"895v1081vDose","2020-07-31",410,7,"na","","","",0.38,0.18871,NA,0.18871,NA,NA,NA,NA,NA,NA,"n","10",72,"","y","unknown","2020-07-30","n","weigh","main lab bench","NJ.Hawkins","2020-06-25","Top soil temp: 24.8C; Bottom soil temp: 24.2C","Top chamber: 10-19cm x 13cm; Bottom chamber: 19-26cm x 10cm","Jonathan Klassen","","side boxes","","",""
"44","e07.b01",7,"manip","2020-08-11",422,1,"weigh","","","",0.4004,0.00107,NA,0.00107,NA,NA,NA,NA,NA,NA,"y","10",24,"","y","unknown","2020-08-05","n?","weigh","ant room hood? or just ant room? idk actually... prob hood bc these are the control tests","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","none","probably watered before start? note in lab NB 2 on Aug. 11 ""Need water"" in ref to boxes","https://drive.google.com/drive/folders/12pwjaGzQM8_MuFHbjk6AyZucoEe3cMI0?usp=sharing","none","https://docs.google.com/spreadsheets/d/1FCdDfF5QPACsgtWuMrzoDaX8X7nNIwdP9SV1R9GQiBQ/edit?usp=sharing"
"45","e07.b02",7,"manip","2020-08-11",422,2,"weigh","","","",0.3987,0.00139,NA,0.00139,NA,NA,NA,NA,NA,NA,"y","10",24,"","y","unknown","2020-08-05","n?","weigh","ant room hood? or just ant room? idk actually... prob hood bc these are the control tests","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
"46","e07.b03",7,"manip","2020-08-11",422,3,"weigh","","","",0.4032,0.04531,NA,0.04531,NA,NA,NA,NA,NA,NA,"n","10",24,"","y","unknown","2020-08-05","n?","weigh","ant room hood? or just ant room? idk actually... prob hood bc these are the control tests","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
"47","e07.b04",7,"manip","2020-08-11",422,4,"weigh","","","",0.4058,0,NA,0,NA,NA,NA,NA,NA,NA,"y","10",24,"","y","unknown","2020-08-05","n?","weigh","ant room hood? or just ant room? idk actually... prob hood bc these are the control tests","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
"48","e07.b05",7,"manip","2020-08-11",422,5,"weigh","","","",0.4033,0.00069,NA,0.00069,NA,NA,NA,NA,NA,NA,"y","10",24,"","y","unknown","2020-08-05","n?","weigh","ant room hood? or just ant room? idk actually... prob hood bc these are the control tests","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
"49","e07.b06",7,"manip","2020-08-11",422,6,"min touch","","","",0.4159,0.00037,NA,0.00037,NA,NA,NA,NA,NA,NA,"y","10",24,"","y","unknown","2020-08-05","n?","min touch","ant room hood? or just ant room? idk actually... prob hood bc these are the control tests","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
"50","e07.b07",7,"manip","2020-08-11",422,7,"min touch","","","",0.3174,0.00017,NA,0.00017,NA,NA,NA,NA,NA,NA,"y","10",24,"","y","unknown","2020-08-05","n?","min touch","ant room hood? or just ant room? idk actually... prob hood bc these are the control tests","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
"51","e07.b08",7,"manip","2020-08-11",422,8,"min touch","","","",0.392,0.00051,NA,0.00051,NA,NA,NA,NA,NA,NA,"y","10",24,"","y","unknown","2020-08-05","n?","min touch","ant room hood? or just ant room? idk actually... prob hood bc these are the control tests","NJ.BTByrne","2020-06-26","Top soil temp: 21.5C; Bottom soil temp: 22.5C","Top chamber: 6-17cm x 9cm; Bottom chamber: 18-27cm x 9cm","Jonathan Klassen","","","","",""
